id,origin_city,origin_state,origin_country,origin_zip_code,dest_city,dest_state,dest_country,dest_zip_code,rate_type,pallet,weight,commodity,user_id_requested,rate,carrier,carrier_name,date_requested,date_completed,user_id_completed,note_completed,facility_code,note_request,ship_date,lane_or_quote,ltl_flags,carrier_active
62,Denver,CO,,,Columbus,OH,US,,Dump,,,,,1119,7,Cardinal Carriers,2025-10-12 21:58:00,,,,,,2025-10-19,lane,,1
63,Sacramento,CA,US,,Atlanta,GA,US,,Dump,,,,,2429,,,2025-02-21 04:38:00,,,,GA-ATL,,2025-03-07,lane,,1
64,Orlando,FL,US,,New Orleans,LA,US,,Van,,,,,1653,7,Cardinal Carriers,2025-10-12 14:29:00,,,,GA-ATL,,,lane,,1
65,Los Angeles,CA,US,,Kansas City,MO,,,Van,,,,,2574,13,Frontier Hauling Co.,2024-05-23 13:05:00,,,,IL-MAIN,,2024-05-31,lane,,1
66,Miami,FL,US,33101,New Orleans,LA,US,,Dump,,29133,,,2883,,,2025-02-14 15:28:00,,,,,,,quote,,1
67,Newark,NJ,,,Oklahoma City,OK,US,,Van,,,,243,1333,22,Vanguard Freight Co.,2024-10-06 18:15:00,,,,,,2024-10-07,lane,,1
68,Portland,OR,,,Seattle,WA,,98101,Van,,,,203,1498,18,Pinepoint Freight,2023-10-31 02:22:00,2023-10-31 05:12:00,180,,,,2023-11-10,quote,,1
69,Birmingham,AL,,,Atlanta,GA,US,,Van,,,Plastic Pellets,,1355,,,2025-03-18 01:20:00,,,,,,2025-04-01,lane,,1
70,Portland,OR,US,97201,Denver,CO,,,Van,,,,,2691,10,Tideland Logistics,2024-05-04 16:17:00,,,,NJ-NWK,,2024-05-06,lane,,1
71,Salt Lake City,UT,US,,Buffalo,NY,US,,Van,,,Recycled Metals,,2122,,,2026-01-01 01:04:00,,,,,,2026-01-10,lane,,1
72,Indianapolis,IN,US,,Cincinnati,OH,US,45201,Van,,22434,,,946,17,Black Hills Logistics,2025-02-18 18:08:00,,,,,,2025-03-01,lane,,1
73,Newark,NJ,US,,Columbus,OH,,43215,Van,,,,,2102,,,2025-07-23 14:05:00,,,,,,,lane,,1
74,Detroit,MI,US,,Columbus,OH,US,43215,Van,,,,,2001,10,Tideland Logistics,2021-10-10 17:36:00,,,,,,,quote,,1
75,Birmingham,AL,,,Sacramento,CA,US,,Van,,47955,,,2539,4,Iron Range Carriers,2025-04-27 17:40:00,,,,,,,lane,,1
76,Detroit,MI,,,Boise,ID,US,,Van,,37126,,,2416,,,2023-08-11 17:05:00,,,,IL-MAIN,,2023-08-21,lane,,1
77,Reno,NV,,89501,Miami,FL,,,Dump,,42238,Construction Materials,,2125,20,Crestwood Carriers,2024-04-16 21:25:00,,,,,,2024-04-17,quote,,1
78,Birmingham,AL,US,,Newark,NJ,US,,Van,,,,,2632,,,2022-10-13 01:18:00,,,,,,,lane,,1
79,Los Angeles,CA,,,Minneapolis,MN,,,Van,,,,,1747,,,2023-04-30 18:22:00,2023-04-30 19:36:00,146,,,,2023-05-14,lane,,1
80,Boise,ID,US,,Miami,FL,US,33101,Van,,21336,,105,1609,,,2024-03-06 17:17:00,,,,,,2024-03-16,lane,,0
81,Sacramento,CA,US,,Birmingham,AL,US,35201,Van,,,,,1438,27,Buckeye Hauling,2024-05-26 10:59:00,,,,,,2024-06-05,lane,,1
82,Memphis,TN,US,,Richmond,VA,US,23218,Van,,,Consumer Goods,,2015,,,2024-10-31 18:36:00,2024-10-31 18:51:00,169,,OH-COL,,2024-11-09,lane,,1
83,Buffalo,NY,,,New Orleans,LA,,,LTL,,,,,631,,,2024-12-23 16:13:00,,,,,,,quote,,1
84,Charlotte,NC,US,,Jacksonville,FL,US,,Van,,,,,1763,,,2025-10-01 09:49:00,,,,,,2025-10-13,lane,,1
85,Indianapolis,IN,US,,Miami,FL,,33101,Van,,32768,Recycled Metals,104,2579,,,2024-12-31 11:59:00,,,,,,2025-01-08,lane,,1
86,Long Beach,CA,US,,Columbus,OH,US,,Van,,,,,2070,,,2025-12-25 05:26:00,,,,IL-MAIN,,,quote,,0
87,St. Louis,MO,US,,Milwaukee,WI,US,,Van,,,Recycled Metals,,2566,,,2021-11-28 12:50:00,,,,,,,quote,,1
88,Albuquerque,NM,US,,Birmingham,AL,US,,Van,,37092,,55,2323,,,2022-08-05 05:46:00,,,,TN-MEM,,2022-08-08,lane,,1
89,Charlotte,NC,,,Chicago,IL,,60601,Van,,38563,,,2146,4,Iron Range Carriers,2024-03-01 08:21:00,,,,NJ-NWK,,2024-03-02,lane,,1
90,Buffalo,NY,US,,Pittsburgh,PA,,,Van,,,,,1747,,,2024-04-10 14:47:00,,,,TX-DAL,,2024-04-22,quote,,0
91,Newark,NJ,US,,Dallas,TX,US,,Van,,47035,,,1063,,,2023-02-18 17:09:00,2023-02-18 20:49:00,153,,,,2023-03-01,quote,,1
92,Chicago,IL,,,Cleveland,OH,US,,Van,,,,,1749,6,Sentinel Logistics,2024-01-31 22:04:00,,,,,,2024-02-02,lane,,0
93,Portland,OR,US,,Los Angeles,CA,,,Dump,,,,,1355,,,2025-06-20 04:41:00,,,,,,2025-06-29,quote,,1
94,Indianapolis,IN,,46204,Jacksonville,FL,US,,Van,,,Mixed Load,,2500,3,Beacon Transport,2025-01-11 03:02:00,,,,,,2025-01-24,quote,,1
95,Dallas,TX,US,,Columbus,OH,US,,Van,,,,,1326,,,2023-04-18 23:36:00,,,,,,2023-04-29,quote,,1
96,Boise,ID,,,Oklahoma City,OK,,,Van,,,,,1439,18,Pinepoint Freight,2025-10-01 21:24:00,,,,,,2025-10-08,quote,,1
97,Columbus,OH,,,Portland,OR,,,Van,,,,,1242,22,Vanguard Freight Co.,2023-09-22 02:59:00,,,,IL-MAIN,,2023-10-01,lane,,1
98,Chicago,IL,,,Cleveland,OH,US,,Van,,,,,2295,18,Pinepoint Freight,2022-08-17 15:58:00,2022-08-17 18:34:00,200,,,,2022-08-21,quote,,1
99,Cleveland,OH,US,,Seattle,WA,,,Van,,,,,1651,11,Granite State Transport,2024-07-20 07:47:00,2024-07-20 08:55:00,161,,,,,lane,,1
100,Oklahoma City,OK,,,Birmingham,AL,US,35201,Van,,,,,2623,,,2023-10-24 04:46:00,,,,TN-MEM,,2023-11-02,quote,,1
101,Albuquerque,NM,,,Birmingham,AL,,35201,Van,23,,,58,1640,24,Lighthouse Logistics,2024-10-12 19:58:00,,,,,,2024-10-13,lane,,1
102,Buffalo,NY,US,,Sacramento,CA,US,,Van,,29801,Construction Materials,,1439,,,2023-06-14 12:05:00,,,,,,2023-06-24,quote,,1
103,Louisville,KY,US,,Denver,CO,,,Van,,,,,1755,3,Beacon Transport,2025-12-13 16:58:00,2025-12-13 17:54:00,250,,OH-COL,,,quote,,1
104,Minneapolis,MN,US,,Houston,TX,,,Van,,,Beverages,,2322,,,2023-04-29 12:43:00,,,,,,2023-05-12,lane,,1
105,Phoenix,AZ,US,,Memphis,TN,US,,Dump,,,Recycled Metals,119,2548,,,2026-02-21 15:14:00,,,,,,,lane,,1
106,Long Beach,CA,US,,Los Angeles,CA,US,,Van,,,Recycled Metals,,1085,18,Pinepoint Freight,2024-02-28 08:06:00,2024-02-28 08:55:00,130,,,,2024-03-08,quote,,0
107,Charlotte,NC,US,,Omaha,NE,US,68101,Van,,33085,Paper Products,121,1657,,,2023-12-04 04:17:00,,,,,,2023-12-06,lane,,1
108,Buffalo,NY,US,,Portland,OR,US,,Van,,35590,,,1219,11,Granite State Transport,2024-02-09 20:38:00,2024-02-09 22:02:00,174,,,,,lane,,1
109,Omaha,NE,US,,Detroit,MI,US,,Van,,34092,,,2396,28,Heartland Express Co.,2023-01-05 17:01:00,,,,,,2023-01-17,quote,,1
110,Richmond,VA,,,New Orleans,LA,,,Van,,20569,,,1096,22,Vanguard Freight Co.,2024-05-15 22:26:00,,,,,,,lane,,1
111,Chicago,IL,US,,Long Beach,CA,US,90802,Van,,,,,2290,,,2025-02-02 17:37:00,,,,,,2025-02-08,lane,,1
112,Orlando,FL,US,,Denver,CO,US,,Van,,22542,,,940,4,Iron Range Carriers,2024-06-02 11:30:00,2024-06-02 14:36:00,198,,NJ-NWK,,2024-06-04,quote,,1
113,St. Louis,MO,US,63101,Louisville,KY,US,,Van,,33241,Steel Coils,,2254,,,2024-09-16 06:28:00,,,,,,2024-09-28,lane,,0
114,Phoenix,AZ,US,,Richmond,VA,US,23218,Van,,,,,2341,,,2024-08-17 11:22:00,,,,,,2024-08-31,lane,,1
115,Omaha,NE,,68101,Portland,OR,US,,Van,,,,,1781,11,Granite State Transport,2024-10-10 22:58:00,,,,,,,lane,,1
116,Milwaukee,WI,US,,Oklahoma City,OK,US,73101,Van,,17142,Industrial Machinery,,1394,,,2024-02-27 05:05:00,,,,,,,lane,,0
117,Reno,NV,US,,Atlanta,GA,,,LTL Haz,,728,Construction Materials,,968,27,Buckeye Hauling,2024-07-01 13:06:00,,,,,,2024-07-05,lane,,1
118,Kansas City,MO,US,,Buffalo,NY,,14201,Van,,34178,,,1420,28,Heartland Express Co.,2025-04-10 01:36:00,,,,,,2025-04-19,quote,,1
119,Columbus,OH,,,Charlotte,NC,,,Van,,,,,1575,26,Old Glory Freight,2025-04-26 21:25:00,,,,OH-COL,,2025-05-01,lane,,0
120,Los Angeles,CA,US,,Birmingham,AL,US,35201,Dump,,,,220,2148,10,Tideland Logistics,2023-11-02 02:50:00,,,,,,2023-11-09,lane,,0
121,Memphis,TN,US,38101,Newark,NJ,,,Van,,,,,1443,,,2021-02-17 13:12:00,,,,GA-ATL,,,lane,,1
122,Pittsburgh,PA,US,15201,Louisville,KY,,,Dump,,37516,,,2844,,,2022-06-20 06:30:00,2022-06-20 09:03:00,77,,IL-MAIN,,2022-06-28,lane,,1
123,Columbus,OH,US,,Indianapolis,IN,,,Van,,,,,2555,,,2021-06-11 20:10:00,,,,IL-MAIN,,2021-06-22,lane,,1
124,Los Angeles,CA,US,,Charlotte,NC,,,Van,,,,147,1442,,,2025-01-07 09:49:00,,,,,,2025-01-21,lane,,1
125,Houston,TX,US,77002,Sacramento,CA,US,,Van,,,,,1210,,,2025-09-17 04:24:00,,,,OH-COL,,2025-09-23,quote,,1
126,Albuquerque,NM,,,Milwaukee,WI,US,,Van,,28316,,,2653,11,Granite State Transport,2022-05-14 17:34:00,,,,,,2022-05-19,lane,,1
127,Los Angeles,CA,US,,Louisville,KY,US,40201,Van,,23992,,,2162,12,Riverbend Carriers,2024-09-10 09:42:00,,,,,,,lane,,1
128,Memphis,TN,,,Denver,CO,US,80201,Van,,,,,1799,,,2022-03-15 22:36:00,,,,IL-MAIN,,2022-03-24,lane,,1
129,Atlanta,GA,US,30303,New Orleans,LA,,70112,Van,,,,,1479,24,Lighthouse Logistics,2022-11-03 01:35:00,,,,,,2022-11-14,lane,,1
130,Minneapolis,MN,,,Houston,TX,US,,Van,,,,,1447,,,2025-03-01 09:20:00,2025-03-01 11:18:00,22,,,,2025-03-06,quote,,1
131,Milwaukee,WI,,,Memphis,TN,US,38101,Van,,,,,2228,7,Cardinal Carriers,2024-10-10 22:56:00,2024-10-11 00:23:00,20,,CA-LB,,,lane,,0
132,Milwaukee,WI,US,,Seattle,WA,US,,Van,,23566,,217,1326,11,Granite State Transport,2022-05-21 03:32:00,2022-05-21 07:03:00,120,,,,2022-05-31,quote,,1
133,Indianapolis,IN,,,Long Beach,CA,US,90802,Van,,,Chemicals (non-haz),83,1734,,,2023-08-28 03:34:00,,,,,,,lane,,0
134,Minneapolis,MN,,55401,Albuquerque,NM,US,,Van,,,,,1890,4,Iron Range Carriers,2023-06-02 05:01:00,,,,IL-MAIN,,,lane,,0
135,Los Angeles,CA,US,,Des Moines,IA,US,50301,Van,,36728,Refrigerated Goods,,1120,,,2025-04-09 00:04:00,2025-04-09 02:51:00,133,,,,,lane,,1
136,Jacksonville,FL,,32099,Cincinnati,OH,US,,Van,,,Refrigerated Goods,,1057,14,Polaris Freight Group,2024-09-22 07:41:00,,,,,,2024-10-01,lane,,1
137,Oklahoma City,OK,,,Salt Lake City,UT,US,84101,Van,,,,,1005,,,2023-12-14 05:01:00,,,,,,2023-12-27,lane,,0
138,Dallas,TX,US,,Pittsburgh,PA,US,,Van,,35840,,,2351,,,2025-03-24 11:59:00,,,,NJ-NWK,,,quote,,0
139,Reno,NV,,89501,Orlando,FL,US,,Van,19,23551,,,1513,26,Old Glory Freight,2022-06-06 07:38:00,2022-06-06 09:54:00,142,,,,2022-06-16,lane,,1
140,Minneapolis,MN,US,55401,Des Moines,IA,US,50301,Van,,,,,2068,18,Pinepoint Freight,2023-09-10 05:46:00,,,,,,,lane,,1
141,Chicago,IL,,,Omaha,NE,US,,Van,,21822,Plastic Pellets,,2586,24,Lighthouse Logistics,2025-02-26 18:02:00,2025-02-26 19:25:00,227,,,,,quote,,1
142,Nashville,TN,US,,Cleveland,OH,,,Van,,,,38,2492,,,2023-10-22 03:46:00,2023-10-22 05:26:00,132,,,,,lane,,0
143,Atlanta,GA,US,,Miami,FL,,,Van,,,,104,2516,20,Crestwood Carriers,2025-10-21 02:21:00,2025-10-21 03:59:00,61,,,,,lane,,1
144,Detroit,MI,US,48201,Milwaukee,WI,US,53201,Dump,,47174,Construction Materials,236,1411,14,Polaris Freight Group,2025-09-03 17:16:00,,,,,,2025-09-05,lane,,1
145,Minneapolis,MN,US,55401,New Orleans,LA,,,Van,,,,,1702,15,Meridian Trucking,2023-06-10 20:34:00,,,,,,2023-06-17,quote,,1
146,Des Moines,IA,,,Pittsburgh,PA,,,Van,,,,213,1324,13,Frontier Hauling Co.,2023-12-13 16:26:00,,,,,,2023-12-21,lane,,1
147,Kansas City,MO,,,Cleveland,OH,US,,Van,,19391,,,1056,,,2024-01-31 21:27:00,2024-02-01 00:59:00,180,,,,2024-02-10,lane,,1
148,Indianapolis,IN,US,,Omaha,NE,US,,Van,,,,,2484,,,2025-11-20 03:59:00,2025-11-20 07:20:00,45,,,,,lane,,1
149,Minneapolis,MN,US,,Denver,CO,,80201,Dump,,33372,,,2900,,,2025-02-01 08:57:00,,,,,,2025-02-14,lane,,1
150,Los Angeles,CA,US,90001,Detroit,MI,US,,Van,,,,,1827,10,Tideland Logistics,2025-04-21 23:31:00,,,,,,,lane,,1
151,Atlanta,GA,US,,Birmingham,AL,US,35201,Van,,,,,2126,16,Coastline Carriers,2024-12-21 08:23:00,,,,TN-MEM,,2025-01-01,quote,,1
152,Memphis,TN,US,,Portland,OR,US,,Van,,,,,936,,,2024-07-31 06:54:00,2024-07-31 07:53:00,193,,TX-DAL,,2024-08-11,lane,,0
153,Jacksonville,FL,,,Louisville,KY,US,40201,Van,,,,90,1084,,,2024-03-17 06:29:00,,,,,,2024-03-27,quote,,1
154,Jacksonville,FL,,,Nashville,TN,,,Dump,,,,,2813,,,2025-07-14 09:12:00,2025-07-14 12:29:00,81,,,,,lane,,1
155,Omaha,NE,US,,Detroit,MI,US,,Van,,,,,1813,,,2023-03-28 17:40:00,,,,,,,quote,,1
156,Denver,CO,US,,Los Angeles,CA,,,Van,,,,,1734,2,Crossroads Logistics,2025-01-30 09:26:00,,,,,,2025-02-04,lane,,1
157,Dallas,TX,US,,Indianapolis,IN,US,,Van,,,,221,1224,11,Granite State Transport,2023-10-10 18:57:00,,,,NJ-NWK,,2023-10-16,quote,,1
158,Los Angeles,CA,US,,Columbus,OH,US,,Van,1,,,118,2610,,,2024-02-08 13:30:00,,,,,,2024-02-12,lane,,1
159,Orlando,FL,,32801,Kansas City,MO,,64101,Van,,,,,2136,29,Pacific Bend Logistics,2023-08-03 09:29:00,,,,,,2023-08-09,quote,,1
160,Memphis,TN,US,,Des Moines,IA,US,,Van,,,,,1969,4,Iron Range Carriers,2023-11-14 20:50:00,2023-11-15 00:36:00,183,,NJ-NWK,,2023-11-23,lane,,1
161,Chicago,IL,US,,Orlando,FL,,,Van,,,,,1820,,,2024-11-07 08:39:00,,,,,,2024-11-21,lane,,1
162,Kansas City,MO,US,,Atlanta,GA,US,30303,Van,,,,,2104,3,Beacon Transport,2023-03-01 15:21:00,2023-03-01 15:26:00,191,,NJ-NWK,,2023-03-03,lane,,1
163,St. Louis,MO,,,Atlanta,GA,US,30303,Van,,24069,,,2094,12,Riverbend Carriers,2024-11-22 13:47:00,2024-11-22 17:26:00,214,,,,,lane,,1
164,Portland,OR,,,New Orleans,LA,US,,Van,,42264,,,2540,,,2025-03-24 03:08:00,,,,,,2025-04-07,lane,,0
165,New Orleans,LA,US,,Oklahoma City,OK,US,73101,Van,,,,,2281,,,2024-02-23 02:16:00,,,,,,2024-03-08,quote,,1
166,Salt Lake City,UT,US,,Portland,OR,US,,Van,,,,133,2464,16,Coastline Carriers,2024-07-15 19:03:00,2024-07-15 19:45:00,149,,,,,quote,,0
167,Cincinnati,OH,US,,Los Angeles,CA,,,Van,,15011,,,2386,,,2022-08-21 15:47:00,,,,,,2022-08-28,lane,,0
168,Birmingham,AL,US,,Denver,CO,US,,Van,,,,,1299,27,Buckeye Hauling,2024-09-01 22:42:00,,,,,,2024-09-03,quote,,1
169,Milwaukee,WI,,,Long Beach,CA,US,,Van,,,,,1093,30,Silver Spur Carriers,2023-01-20 12:13:00,,,,,,,lane,,1
170,Dallas,TX,US,,Boise,ID,US,83701,Van,,23413,,,1086,,,2024-04-16 16:49:00,,,,,,2024-04-26,quote,,1
171,Miami,FL,,,Cincinnati,OH,,,Van,,29243,,,1261,,,2024-09-03 23:32:00,,,,,,2024-09-17,lane,,1
172,Newark,NJ,US,07102,Salt Lake City,UT,,,Van,,,,93,1414,,,2024-07-29 21:45:00,,,,,,,lane,,1
173,Indianapolis,IN,,,Dallas,TX,,,Dump,,,,,2677,,,2023-02-22 17:02:00,,,,,,2023-03-04,quote,,1
174,Phoenix,AZ,US,,Boise,ID,,83701,Van,,,,,2540,,,2023-05-18 19:55:00,,,,,,,lane,,1
